geoid,total_count,total_tested,race_White_count,race_White_tested,race_Asian_count,race_Asian_tested,race_Black_count,race_Black_tested,race_Hispanic_count,race_Hispanic_tested,race_NH/PI*_count,race_NH/PI*_tested,race_AI/AN**_count,race_AI/AN**_tested,race_unkown_count,race_unkown_tested,race_other_count,race_other_tested,age_<20_count,age_<20_tested,age_20-29_count,age_20-29_tested,age_30-39_count,age_30-39_tested,age_40-49_count,age_40-49_tested,age_50-59_count,age_50-59_tested,age_60-69_count,age_60-69_tested,age_70-79_count,age_70-79_tested,age_80+_count,age_80+_tested,age_Unknown_count,age_Unknown_tested,gender_male_count,gender_male_tested,gender_female_count,gender_female_tested,gender_unkown_count,gender_unkown_tested
1760633,304,3073,0,9,16,149,43,336,43,380,56,492,60,627,43,659,30,288,12,133,24,364,57,324,141,1963,12,41,10,116,60,260,0,0,0,0,131,1341,146,1370,27,362
1760634,1602,13502,0,14,101,820,240,1976,290,2378,314,2344,311,2423,212,1952,73,898,60,697,313,3072,28,188,331,5840,87,780,64,307,757,3177,20,126,0,12,780,6347,810,6967,12,188
1760636,818,5227,0,0,57,458,135,787,136,827,138,749,129,964,93,750,77,445,53,243,10,76,493,2623,137,2080,15,84,0,0,161,358,0,0,0,0,375,2326,434,2823,9,78
1760637,681,8382,0,0,37,595,128,1220,140,1394,102,1110,110,1429,78,1331,52,728,34,571,30,801,513,4613,112,2698,9,76,0,96,12,85,0,0,0,9,294,3599,382,4673,0,110
1760638,1215,8496,0,7,93,599,212,1294,211,1571,253,1567,194,1301,124,1106,65,558,63,493,286,2312,63,247,302,3798,74,537,0,20,486,1571,0,0,0,7,582,4160,622,4234,11,102
1760639,3606,17600,0,14,298,1562,698,3441,709,3341,731,3204,599,2835,356,1993,157,900,58,310,173,1046,229,1131,761,7367,119,675,14,81,2309,7266,0,20,0,14,1779,8269,1797,9075,30,256
1760640,908,11897,0,18,27,367,95,1656,130,2389,147,1595,148,1917,158,1712,93,1042,109,1201,264,3341,185,804,213,6435,42,398,58,358,142,535,0,18,0,8,454,5183,398,5570,56,1144
1760641,1656,12558,0,15,134,929,303,2080,292,2370,332,2195,293,2115,202,1627,66,750,34,477,182,2153,37,228,371,5770,78,611,38,203,945,3531,0,50,0,12,807,5672,823,6705,26,181
1760642,222,3044,0,0,11,115,56,753,58,1008,21,388,18,306,22,256,14,137,21,78,40,785,26,276,49,1361,9,167,0,65,92,385,0,0,0,0,100,1279,106,1680,16,85
1760643,797,8978,0,11,25,422,86,873,99,1087,116,1373,160,1691,145,1763,73,1021,93,737,58,636,403,2676,275,5515,42,88,0,0,15,54,0,0,0,0,348,3859,416,4776,33,343
1760644,1338,9222,0,18,82,683,203,1263,209,1340,217,1436,211,1667,192,1588,121,762,102,465,61,255,825,4166,293,4032,36,284,0,23,116,453,0,0,0,7,609,3871,640,4667,89,684
1760645,1145,8151,0,11,72,598,193,1295,191,1217,169,1117,191,1261,167,1339,72,714,90,599,342,1865,165,635,160,3992,101,609,97,351,277,656,0,29,0,14,545,3609,590,4333,10,209
1760646,410,4562,0,7,16,264,33,490,55,704,71,735,61,837,59,608,41,466,74,451,150,1561,14,38,136,2233,22,289,27,158,57,253,0,21,0,9,183,2208,191,2178,36,176
1760647,1528,13434,0,10,108,777,251,3159,269,3645,250,1783,277,1532,178,1247,112,777,83,504,153,2848,65,530,323,6355,45,456,14,173,925,3042,0,18,0,12,754,5853,754,7214,20,367
1760649,883,8960,0,10,34,462,95,972,116,1202,108,1195,142,1683,151,1641,124,1081,113,714,12,143,708,4796,133,3846,15,78,0,14,13,74,0,8,0,0,376,3719,493,4871,14,370
1760651,1879,10480,0,19,172,881,327,1752,377,2015,365,1878,288,1631,189,1319,131,758,30,227,40,463,581,3042,353,4292,49,343,0,14,852,2313,0,6,0,7,860,4640,993,5610,26,230
1760652,1046,6711,0,8,70,484,173,994,177,1020,208,1131,169,1229,100,1026,54,422,95,397,54,537,240,1382,365,3771,35,177,0,14,348,826,0,0,0,0,470,2945,539,3462,37,304
1760653,591,7479,0,19,67,411,62,724,88,1044,96,1085,94,1288,95,1409,54,894,35,605,14,263,409,3604,135,3412,0,82,12,31,17,82,0,0,0,0,267,2938,302,3870,22,671
1760654,182,2440,0,0,0,57,39,622,53,842,28,304,35,254,17,235,0,82,0,44,73,867,38,170,37,1172,7,108,13,69,14,46,0,0,0,0,117,1139,63,1281,0,20
1760655,294,4596,0,0,6,135,62,614,65,998,60,1001,45,908,27,500,15,254,14,184,138,1500,32,170,100,2754,0,71,7,12,14,87,0,0,0,0,161,2697,132,1814,0,85
1760656,321,4004,0,0,7,195,58,501,64,724,55,776,63,690,44,601,17,268,13,248,140,1414,9,37,83,1905,26,205,17,107,41,294,0,39,0,0,157,2064,161,1874,0,66
1760657,416,7984,0,7,10,319,118,2134,83,1977,45,805,48,659,26,617,35,653,51,813,206,2830,30,173,84,4325,13,243,22,176,56,213,0,9,0,15,223,3484,187,4329,6,171
1760659,834,5478,0,9,61,473,145,883,143,971,139,795,134,857,112,798,45,410,55,282,167,1031,63,275,127,2564,87,537,144,463,232,542,7,48,7,18,404,2491,406,2873,24,114
1760660,500,5790,0,0,20,175,71,972,92,1135,62,803,113,1061,83,915,47,518,12,207,134,1433,81,375,86,3090,36,305,29,169,133,398,0,13,0,7,277,2647,222,2930,0,213
1760661,56,1069,0,0,0,14,25,316,16,478,8,118,0,65,0,45,0,27,0,0,24,337,0,55,13,523,0,50,6,76,6,26,0,0,0,0,27,482,29,575,0,12
1760680,6,127,0,0,0,8,0,8,0,17,0,24,0,28,0,29,0,12,0,0,0,18,0,58,0,39,0,0,0,0,0,7,0,0,0,0,0,55,0,71,0,0
1760706,468,4629,0,7,19,236,59,467,34,458,63,608,67,672,80,715,57,418,88,1048,229,2163,13,19,86,1685,16,196,39,194,78,300,0,67,0,0,227,1796,237,2683,0,150
1760707,856,7112,0,6,52,400,130,992,144,1078,151,1158,169,1287,111,1164,60,674,39,353,198,1979,72,469,180,2738,44,355,17,77,339,1452,0,36,0,6,388,3025,452,3942,16,145
1760712,191,2281,0,0,13,108,21,264,26,261,30,240,24,268,20,276,13,262,44,601,77,893,0,44,44,761,23,264,30,169,10,128,0,14,0,8,93,891,95,1273,0,117
1760714,938,6785,0,14,31,197,80,626,88,794,88,766,99,983,145,1140,125,854,281,1411,273,1493,18,81,270,3925,94,443,156,443,116,334,7,58,0,8,378,2573,534,3813,26,399
1760803,287,2636,0,0,12,134,42,383,50,419,58,391,56,482,44,435,17,270,8,121,46,615,45,310,126,1500,10,65,8,25,50,119,0,0,0,0,128,1093,158,1507,0,36
1760804,3078,13795,13,34,282,1312,539,2868,582,2498,648,2600,557,2093,320,1400,107,629,30,361,349,2098,61,302,736,4878,228,1409,0,32,1696,5067,0,0,0,0,1533,6321,1474,7132,71,342
1760805,248,2446,0,0,11,127,27,318,46,399,36,313,30,386,37,468,23,250,38,184,41,550,59,295,101,1475,12,33,0,14,33,77,0,0,0,0,108,1019,138,1392,0,35
1760827,407,3658,0,0,20,270,86,530,70,610,77,562,73,668,50,590,18,312,13,114,9,54,276,1722,98,1796,10,49,0,0,13,33,0,0,0,0,160,1395,243,2175,0,88
1760901,724,6582,0,14,79,397,149,871,104,926,128,981,104,1111,65,1107,40,618,55,557,221,2723,196,1448,77,1716,9,251,0,7,220,436,0,0,0,0,334,2894,384,3590,6,98
1760911,11,156,0,0,0,12,0,17,0,25,0,24,0,21,0,26,0,18,0,13,7,124,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,70,6,84,0,0
1760912,6,68,0,0,0,0,0,6,0,7,0,6,0,20,0,17,0,0,0,6,6,52,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,34,0,34,0,0
1760913,7,134,0,0,0,13,0,14,0,7,0,24,0,19,0,37,0,14,0,6,0,113,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,56,0,77,0,0
1760914,234,4310,0,0,17,262,35,564,47,588,32,619,41,770,26,674,27,544,9,287,134,2380,31,266,35,1448,8,111,0,25,23,78,0,0,0,0,87,1803,146,2480,0,27
1760915,91,1790,0,0,9,125,18,255,13,284,31,287,11,290,0,211,0,188,0,149,40,973,18,93,13,608,0,40,0,6,20,68,0,0,0,0,36,702,54,1073,0,15
1760919,7,49,0,0,0,0,0,8,0,6,0,0,0,8,0,7,0,10,0,6,7,42,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,23,0,25,0,0
1760922,19,320,0,0,0,22,0,42,0,38,0,59,0,54,8,54,0,32,0,19,13,242,0,9,0,65,0,0,0,0,0,0,0,0,0,0,13,144,0,173,0,0
1760927,54,606,0,0,0,19,0,37,0,42,0,42,0,66,0,73,0,71,31,256,50,243,0,0,0,351,0,11,0,0,0,0,0,0,0,0,9,169,44,435,0,0
1760928,7,68,0,0,0,0,0,0,0,12,0,9,0,16,0,10,0,8,0,7,7,54,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,33,0,35,0,0
1760930,7,73,0,0,0,0,0,12,0,10,0,10,0,6,0,11,0,12,0,9,0,61,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,23,0,50,0,0
1760931,6,54,0,0,0,0,0,0,0,8,0,11,0,13,0,7,0,0,0,0,6,38,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,0,32,0,0
1760936,11,559,0,0,0,43,0,56,0,85,0,85,0,71,0,101,0,63,0,55,10,284,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,231,7,315,0,13
1760938,8,300,0,0,0,9,0,27,0,29,0,26,0,45,0,65,0,54,0,45,0,160,0,0,0,124,0,0,0,0,0,13,0,0,0,0,0,142,0,157,0,0
1760940,22,380,0,0,0,29,0,53,0,32,8,66,0,69,0,71,0,37,0,23,17,270,0,0,0,92,0,8,0,0,0,0,0,0,0,0,14,142,8,235,0,0
1760941,7,195,0,0,0,11,0,19,0,13,0,34,0,36,0,27,0,43,0,12,7,157,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,84,6,109,0,0
1760942,10,713,0,0,0,65,0,90,0,93,0,72,0,120,0,118,0,79,0,76,0,552,0,9,0,85,0,19,0,0,6,46,0,0,0,0,6,290,0,390,0,33
1760950,116,2331,0,0,8,154,13,164,6,149,16,206,15,310,11,365,16,416,31,567,79,1786,9,73,23,389,0,40,0,0,0,39,0,0,0,0,65,1404,51,906,0,21
1760953,6,221,0,0,0,26,0,22,0,19,0,26,0,39,0,46,0,26,0,17,6,175,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,75,6,142,0,0
1760954,50,1269,0,0,0,51,13,161,8,157,6,154,6,268,9,246,0,157,0,75,26,743,6,78,7,323,0,27,0,0,11,96,0,0,0,0,25,575,25,643,0,51
1760955,16,182,0,0,0,30,0,24,0,24,0,26,0,26,0,19,0,19,0,14,0,101,0,0,0,36,0,11,0,0,12,31,0,0,0,0,6,91,9,90,0,0
1760957,14,568,0,0,0,50,0,93,0,68,0,95,0,82,0,77,0,59,0,42,11,454,0,7,0,82,0,9,0,0,0,15,0,0,0,0,0,231,9,326,0,11
1760958,25,305,0,0,0,17,6,35,0,49,0,37,0,67,0,64,0,15,0,21,0,27,18,190,0,65,0,0,0,0,0,17,0,0,0,0,12,129,13,174,0,0
1760964,42,655,0,0,0,45,0,65,7,81,0,100,9,107,8,123,0,93,0,41,17,398,13,84,0,130,0,18,0,0,6,24,0,0,0,0,19,286,23,363,0,6
1760970,21,759,0,0,0,46,0,83,0,84,0,89,0,117,0,126,0,100,0,114,20,570,0,8,0,146,0,15,0,0,0,19,0,0,0,0,8,323,12,427,0,9
1761008,497,4410,0,8,56,469,80,775,84,625,85,647,76,604,51,475,26,330,39,477,152,1088,10,41,7,2826,14,36,0,9,308,409,0,0,0,0,234,1655,259,2487,0,268
1761010,31,967,0,0,0,98,7,140,0,153,0,121,0,132,0,97,0,97,0,128,16,207,0,0,15,751,0,6,0,0,0,0,0,0,0,0,16,255,14,276,0,436
1761011,12,213,0,0,0,16,0,29,0,21,0,24,0,33,0,38,0,40,0,12,10,67,0,0,0,143,0,0,0,0,0,0,0,0,0,0,7,101,0,103,0,9
1761012,24,199,0,0,0,36,10,41,0,33,6,36,0,28,0,9,0,15,0,0,9,53,0,0,0,99,0,0,0,0,14,43,0,0,0,0,12,90,12,104,0,0
1761016,48,533,0,0,0,39,6,65,8,59,13,79,9,101,0,93,0,65,0,31,22,157,0,8,0,338,0,0,0,0,16,22,0,0,0,0,16,210,32,261,0,62
1761019,13,283,0,0,0,34,0,30,0,30,0,33,0,51,0,39,0,46,0,19,6,163,0,0,6,108,0,0,0,0,0,7,0,0,0,0,7,100,6,174,0,9
1761020,18,269,0,0,0,27,0,43,0,43,7,62,6,53,0,35,0,0,0,0,0,76,0,0,12,185,0,0,0,0,0,7,0,0,0,0,6,98,12,159,0,12
1761021,97,2004,0,0,10,155,17,286,11,274,20,299,19,304,17,356,0,153,0,177,57,390,0,10,33,1557,0,15,0,0,0,30,0,0,0,0,71,848,26,1132,0,24
1761024,8,308,0,0,0,42,0,44,0,24,0,28,0,44,0,52,0,32,0,42,8,209,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,113,6,178,0,17
1761025,7,275,0,0,0,27,0,31,0,21,0,37,0,48,0,36,0,37,0,38,0,98,0,0,0,168,0,0,0,0,0,7,0,0,0,0,0,91,0,142,0,42
1761032,242,4134,0,11,24,301,53,510,49,586,34,385,39,616,24,579,11,397,8,749,46,1173,24,166,115,2642,0,31,0,8,53,113,0,0,0,0,112,1381,107,2378,23,375
1761036,19,824,0,0,0,42,0,76,0,75,0,69,0,105,0,174,0,174,0,104,0,217,0,0,11,596,0,0,0,0,0,6,0,0,0,0,12,301,6,449,0,74
1761041,6,80,0,0,0,0,0,0,0,7,0,7,0,11,0,22,0,19,0,7,6,15,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,32,0,47,0,0
1761048,6,253,0,0,0,19,0,38,0,40,0,27,0,45,0,39,0,24,0,21,0,103,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,97,0,140,0,16
1761054,13,298,0,0,0,16,0,38,0,54,0,53,0,51,0,36,0,32,0,18,0,65,0,0,9,226,0,0,0,0,0,6,0,0,0,0,6,131,7,157,0,10
1761061,17,539,0,0,0,51,6,82,0,64,0,63,0,83,0,67,0,66,0,62,9,171,0,0,8,357,0,0,0,0,0,0,0,0,0,0,7,222,10,287,0,30
1761063,12,337,0,0,0,45,0,39,0,51,0,40,0,69,0,63,0,16,0,14,10,171,0,0,0,158,0,0,0,0,0,0,0,0,0,0,7,141,0,170,0,26
1761064,10,206,0,0,0,13,0,36,0,32,0,22,0,26,0,49,0,21,0,6,0,59,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,75,7,129,0,0
1761065,80,970,0,0,11,110,18,138,10,132,22,213,12,189,0,121,0,47,0,20,35,279,0,11,0,613,0,10,0,0,37,53,0,0,0,0,39,422,41,521,0,27
1761068,160,1675,0,0,14,140,32,299,34,261,29,258,31,302,16,217,0,95,0,102,16,308,0,8,87,1255,0,18,0,0,56,84,0,0,0,0,72,682,82,883,6,110
1761071,47,621,0,0,0,54,0,106,6,88,0,76,13,122,11,106,0,51,0,18,27,256,0,0,0,292,0,0,0,0,15,65,0,0,0,0,24,224,23,365,0,32
1761072,42,891,0,0,8,119,11,122,0,128,8,151,0,136,0,125,0,82,0,28,30,321,0,10,0,540,0,0,0,0,6,15,0,0,0,0,21,342,21,527,0,22
1761073,87,1674,0,0,12,209,16,234,11,223,18,271,16,270,8,203,0,145,0,117,53,574,0,11,13,1044,0,6,0,6,15,31,0,0,0,0,48,768,39,850,0,56
1761080,62,755,0,0,0,101,11,109,12,126,14,138,12,136,6,85,0,30,0,30,19,201,0,6,14,490,0,6,0,0,21,45,0,0,0,0,26,331,36,392,0,32
1761081,97,1158,0,0,7,85,14,150,12,174,10,139,16,179,10,168,0,103,25,160,57,599,0,9,6,442,0,10,0,0,28,94,0,0,0,0,39,454,56,653,0,51
1761084,12,188,0,0,0,15,0,26,0,35,0,28,0,29,0,40,0,9,0,6,0,76,0,0,6,109,0,0,0,0,0,0,0,0,0,0,0,88,7,95,0,0
1761085,8,220,0,0,0,16,0,18,0,24,0,34,0,30,0,43,0,29,0,26,0,64,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,89,0,115,0,16
1761088,13,500,0,0,0,52,0,50,0,57,0,56,0,117,0,85,0,42,0,41,11,232,0,0,0,256,0,0,0,0,0,0,0,0,0,0,6,197,7,254,0,49
1761101,352,3290,0,0,68,403,79,529,51,479,64,501,49,530,20,399,14,283,7,165,57,636,150,314,32,2021,9,38,0,6,102,273,0,0,0,0,156,1187,192,1706,0,397
1761102,305,2676,0,0,69,371,59,469,51,419,35,391,46,441,25,339,12,152,8,94,32,358,144,237,24,1749,0,19,0,0,102,310,0,0,0,0,122,973,182,1369,0,334
1761103,338,4357,0,0,34,421,64,629,60,661,38,561,46,732,39,636,32,364,25,350,126,948,123,320,28,2850,0,27,0,0,59,209,0,0,0,0,140,1681,194,2398,0,278
1761104,350,2405,0,0,71,312,94,559,53,407,56,406,46,328,19,235,6,108,0,49,47,337,115,122,35,1649,0,37,16,13,134,244,0,0,0,0,148,944,200,1236,0,225
1761107,301,4208,0,0,26,389,52,598,42,625,32,577,35,593,28,610,24,438,62,375,131,727,46,86,51,3172,8,47,7,28,56,144,0,0,0,0,125,1706,173,2345,0,157
1761108,469,4358,0,6,39,397,73,765,73,637,68,659,64,657,74,601,46,394,32,242,185,951,78,187,39,2791,0,54,14,36,150,337,0,0,0,0,224,1740,242,2339,0,279
1761109,318,3353,0,0,45,405,88,674,54,523,60,524,29,528,26,343,9,249,7,106,74,691,68,103,20,2154,6,61,12,13,138,327,0,0,0,0,138,1338,179,1813,0,202
1761111,128,2630,0,0,9,243,23,441,25,424,20,385,22,456,22,380,0,170,0,130,84,768,19,46,9,1714,0,19,0,14,12,65,0,0,0,0,44,1028,83,1474,0,128
1761114,126,2122,0,0,12,163,30,310,19,261,18,233,22,326,15,352,7,263,0,213,40,496,31,76,14,1436,0,15,8,23,32,75,0,0,0,0,51,817,74,1121,0,184
1761115,150,2306,0,0,18,208,37,383,22,346,26,325,16,409,20,343,8,180,0,111,96,819,20,24,9,1353,0,22,8,16,17,70,0,0,0,0,68,980,82,1231,0,95
1761201,308,4766,0,19,23,366,51,598,53,586,40,641,45,629,40,784,29,585,27,558,104,1622,64,427,64,2366,0,85,27,46,46,217,0,0,0,0,149,1837,151,2656,8,273
1761231,6,396,0,0,0,22,0,45,0,48,0,40,0,55,0,77,0,55,0,51,0,230,0,0,0,160,0,6,0,0,0,0,0,0,0,0,0,150,0,229,0,17
1761235,8,141,0,0,0,9,0,12,0,14,0,23,0,29,0,27,0,18,0,9,7,38,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,79,0,61,0,0
1761238,8,269,0,0,0,13,0,32,0,30,0,37,0,46,0,32,0,41,0,38,6,72,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,88,6,178,0,0
1761239,8,129,0,0,0,10,0,22,0,18,0,18,0,20,0,21,0,13,0,7,0,51,0,9,0,62,0,0,0,0,0,6,0,0,0,0,0,46,0,80,0,0
1761240,21,680,0,0,0,59,9,80,0,71,0,97,0,103,0,98,0,122,0,47,13,319,0,0,8,343,0,6,0,0,0,9,0,0,0,0,9,263,12,393,0,24
1761241,19,702,0,0,0,45,0,94,0,90,0,90,0,150,0,102,0,91,0,38,13,324,0,0,0,354,0,7,0,0,0,16,0,0,0,0,8,273,11,414,0,15
1761244,288,3896,0,0,12,244,60,531,64,506,59,444,51,521,22,490,10,449,10,706,54,1441,74,242,68,1857,0,60,18,51,71,239,0,0,0,0,189,1518,96,2275,0,103
1761252,29,348,0,0,0,15,0,39,0,32,0,47,0,50,0,49,0,25,12,91,27,162,0,0,0,179,0,6,0,0,0,0,0,0,0,0,8,114,21,223,0,11
1761254,23,1080,0,0,0,54,8,136,0,111,0,125,8,183,0,136,0,152,0,182,17,253,0,0,0,820,0,0,0,0,0,0,0,0,0,0,13,465,10,602,0,13
1761256,7,202,0,0,0,11,0,16,0,32,0,22,0,37,0,34,0,32,0,16,0,96,0,0,0,98,0,0,0,0,0,6,0,0,0,0,0,82,0,114,0,6
1761264,38,1119,0,0,6,77,6,110,0,105,0,131,0,190,6,239,0,149,6,114,24,551,0,21,8,515,0,13,0,0,0,14,0,0,0,0,15,430,23,651,0,38
1761265,342,5620,0,15,16,372,81,845,65,856,54,721,57,775,39,837,18,609,12,590,110,2345,34,236,77,2460,8,112,13,34,99,426,0,0,0,0,166,2173,172,3296,0,151
1761270,13,465,0,0,0,35,0,51,0,63,0,50,0,58,0,70,0,45,0,92,10,89,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,177,8,274,0,14
1761273,9,294,0,0,0,24,0,34,0,44,0,47,0,53,0,41,0,29,0,21,7,126,0,0,0,157,0,6,0,0,0,0,0,0,0,0,7,142,0,150,0,0
